id,in_users,in_profiles,in_catalog_users,users_count,profiles_count,catalog_users_count
441174253,no,yes,yes,0,2,2
442818376,no,yes,yes,0,1,1
443066771,no,yes,yes,0,1,1
443280370,no,yes,yes,0,1,1
444056815,no,yes,yes,0,1,1
444270381,no,yes,yes,0,1,1
445595687,no,yes,yes,0,1,1
446062202,no,yes,yes,0,1,1
446899882,no,yes,yes,0,1,1
447839305,no,yes,yes,0,1,1
449021210,no,yes,yes,0,1,1
451692711,no,yes,yes,0,1,1
451740525,no,yes,yes,0,1,1
452105347,no,yes,yes,0,2,2
452522254,no,yes,yes,0,2,2
453140370,no,yes,yes,0,1,1
453739597,no,yes,yes,0,1,1
453856060,no,yes,yes,0,1,1
454496314,no,yes,yes,0,1,1
455517441,no,yes,yes,0,1,1
456070838,no,yes,yes,0,1,1
456108152,no,yes,yes,0,1,1
456835994,no,yes,yes,0,1,1
457339503,no,yes,yes,0,2,2
457478566,no,yes,yes,0,1,1
457732282,no,yes,yes,0,1,1
457908008,no,yes,yes,0,2,2
458826640,no,yes,yes,0,1,1
460264624,no,yes,yes,0,1,1
460383986,no,yes,yes,0,1,1
461042956,no,yes,yes,0,2,2
462103263,no,yes,yes,0,2,2
465457465,no,yes,yes,0,1,1
466072739,no,yes,yes,0,1,1
466264616,no,yes,yes,0,2,2
466650143,no,yes,yes,0,2,2
467427555,no,yes,yes,0,1,1
470186395,no,yes,yes,0,2,2
472936097,no,yes,yes,0,1,1
473502341,no,yes,yes,0,1,1
473512468,no,yes,yes,0,1,1
473967351,no,yes,yes,0,1,1
473977204,no,yes,yes,0,1,1
474361611,no,yes,yes,0,2,2
474500358,no,yes,yes,0,1,1
474629978,no,yes,yes,0,1,1
475058568,no,yes,yes,0,2,2
475346020,no,yes,yes,0,2,2
475423191,no,yes,yes,0,1,1
476001857,no,yes,yes,0,1,1
476022712,no,yes,yes,0,1,1
478608388,no,yes,yes,0,1,1
478663876,no,yes,yes,0,2,2
480367624,no,yes,yes,0,1,1
481381620,no,yes,yes,0,1,1
482599722,no,yes,yes,0,1,1
482943828,no,yes,yes,0,1,1
483909778,no,yes,yes,0,1,1
485042934,no,yes,yes,0,2,2
485319875,no,yes,yes,0,2,2
486112475,no,yes,yes,0,1,1
486979112,no,yes,yes,0,1,1
487151375,no,yes,yes,0,1,1
487466543,no,yes,yes,0,1,1
488014299,no,yes,yes,0,1,1
488229309,no,yes,yes,0,1,1
489553835,no,yes,yes,0,1,1
491923105,no,yes,yes,0,1,1
492229032,no,yes,yes,0,1,1
492733251,no,yes,yes,0,1,1
492736369,no,yes,yes,0,1,1
493815474,no,yes,yes,0,1,1
494322606,no,yes,yes,0,1,1
495547753,no,yes,yes,0,2,2
495824285,no,yes,yes,0,1,1
496124775,no,yes,yes,0,2,2
499670587,no,yes,yes,0,2,2
500557916,no,yes,yes,0,2,2
501056413,no,yes,yes,0,1,1
501207462,no,yes,yes,0,1,1
501632158,no,yes,yes,0,2,2
501686999,no,yes,yes,0,1,1
503417321,no,yes,yes,0,1,1
503488720,no,yes,yes,0,1,1
503993966,no,yes,yes,0,2,2
504222458,no,yes,yes,0,1,1
504244419,no,yes,yes,0,1,1
504699749,no,yes,yes,0,1,1
505842517,no,yes,yes,0,1,1
506922521,no,yes,yes,0,1,1
507488142,no,yes,yes,0,2,2
508220403,no,yes,yes,0,1,1
509011144,no,yes,yes,0,1,1
510069518,no,yes,yes,0,1,1
512591540,no,yes,yes,0,1,1
512923982,no,yes,yes,0,1,1
513075323,no,yes,yes,0,1,1
513453461,no,yes,yes,0,1,1
513779880,no,yes,yes,0,2,2
514802843,no,yes,yes,0,1,1
515410630,no,yes,yes,0,1,1
515899244,no,yes,yes,0,1,1
516413818,no,yes,yes,0,1,1
522452840,no,yes,yes,0,1,1
523874384,no,yes,yes,0,1,1
524374194,no,yes,yes,0,2,2
524403219,no,yes,yes,0,1,1
527687937,no,yes,yes,0,1,1
531541121,no,yes,yes,0,2,2
532450544,no,yes,yes,0,1,1
534359181,no,yes,yes,0,1,1
534827520,no,yes,yes,0,1,1
536137187,no,yes,yes,0,1,1
536300932,no,yes,yes,0,1,1
536445599,no,yes,yes,0,1,1
536767741,no,yes,yes,0,1,1
537267719,no,yes,yes,0,1,1
